img_dir,label
dataset/0.jpg,5
dataset/1.jpg,9
dataset/2.jpg,5
dataset/3.jpg,1
dataset/4.jpg,2
dataset/5.jpg,7
dataset/6.jpg,5
dataset/7.jpg,7
dataset/8.jpg,4
dataset/9.jpg,8
dataset/10.jpg,7
dataset/11.jpg,1
dataset/12.jpg,7
dataset/13.jpg,3
dataset/14.jpg,8
dataset/15.jpg,8
dataset/16.jpg,3
dataset/17.jpg,9
dataset/18.jpg,2
dataset/19.jpg,4
dataset/20.jpg,5
dataset/21.jpg,3
dataset/22.jpg,9
dataset/23.jpg,9
dataset/24.jpg,1
dataset/25.jpg,8
dataset/26.jpg,9
dataset/27.jpg,6
dataset/28.jpg,5
dataset/29.jpg,8
dataset/30.jpg,3
dataset/31.jpg,1
dataset/32.jpg,7
dataset/33.jpg,7
dataset/34.jpg,7
dataset/35.jpg,3
dataset/36.jpg,9
dataset/37.jpg,7
dataset/38.jpg,7
dataset/39.jpg,6
dataset/40.jpg,2
dataset/41.jpg,6
dataset/42.jpg,2
dataset/43.jpg,3
dataset/44.jpg,1
dataset/45.jpg,4
dataset/46.jpg,5
dataset/47.jpg,8
dataset/48.jpg,1
dataset/49.jpg,3
dataset/50.jpg,1
dataset/51.jpg,7
dataset/52.jpg,8
dataset/53.jpg,3
dataset/54.jpg,3
dataset/55.jpg,3
dataset/56.jpg,2
dataset/57.jpg,1
dataset/58.jpg,9
dataset/59.jpg,3
dataset/60.jpg,7
dataset/61.jpg,7
dataset/62.jpg,9
dataset/63.jpg,9
dataset/64.jpg,1
dataset/65.jpg,8
dataset/66.jpg,9
dataset/67.jpg,7
dataset/68.jpg,6
dataset/69.jpg,8
dataset/70.jpg,4
dataset/71.jpg,9
dataset/72.jpg,8
dataset/73.jpg,8
dataset/74.jpg,5
dataset/75.jpg,8
dataset/76.jpg,2
dataset/77.jpg,5
dataset/78.jpg,6
dataset/79.jpg,8
dataset/80.jpg,6
dataset/81.jpg,9
dataset/82.jpg,2
dataset/83.jpg,9
dataset/84.jpg,6
dataset/85.jpg,5
dataset/86.jpg,2
dataset/87.jpg,4
dataset/88.jpg,9
dataset/89.jpg,6
dataset/90.jpg,1
dataset/91.jpg,7
dataset/92.jpg,5
dataset/93.jpg,7
dataset/94.jpg,6
dataset/95.jpg,3
dataset/96.jpg,3
dataset/97.jpg,4
dataset/98.jpg,8
dataset/99.jpg,9
dataset/100.jpg,7
dataset/101.jpg,1
dataset/102.jpg,6
dataset/103.jpg,2
dataset/104.jpg,3
dataset/105.jpg,4
dataset/106.jpg,7
dataset/107.jpg,6
dataset/108.jpg,7
dataset/109.jpg,6
dataset/110.jpg,3
dataset/111.jpg,8
dataset/112.jpg,5
dataset/113.jpg,5
dataset/114.jpg,7
dataset/115.jpg,7
dataset/116.jpg,7
dataset/117.jpg,4
dataset/118.jpg,1
dataset/119.jpg,2
dataset/120.jpg,7
dataset/121.jpg,9
dataset/122.jpg,5
dataset/123.jpg,7
dataset/124.jpg,4
dataset/125.jpg,5
dataset/126.jpg,2
dataset/127.jpg,3
dataset/128.jpg,2
dataset/129.jpg,3
dataset/130.jpg,4
dataset/131.jpg,5
dataset/132.jpg,9
dataset/133.jpg,5
dataset/134.jpg,6
dataset/135.jpg,2
dataset/136.jpg,4
dataset/137.jpg,6
dataset/138.jpg,9
dataset/139.jpg,7
dataset/140.jpg,9
dataset/141.jpg,6
dataset/142.jpg,1
dataset/143.jpg,4
